Dallas;85;2;65;2;40;2;30;2;10;0;0;0;0
Newark;85;2;90;2;40;2;20;1;95;0;0;0;0
Fort Lauderdale;85;2;50;1;85;1;55;1;50;0;0;0;0
Washington;85;3;75;3;25;2;0;1;75;0;0;0;0
Houston;85;2;55;2;5;1;95;1;80;0;0;0;0
New York;85;3;5;2;40;2;20;2;10;0;0;0;0
Los Ángeles;85;2;75;2;15;2;0;1;85;0;0;0;0
Miami;85;2;15;1;50;1;35;1;10;0;0;0;0
Chicago;85;3;25;2;55;2;45;2;25;0;0;0;0
San Francisco;85;3;20;2;60;2;50;2;40;0;0;0;0
Toronto;85;3;5;2;75;2;65;2;55;0;0;0;0
Aruba;85;3;5;2;40;2;35;2;30;0;0;0;0
Belice;85;4;30;4;25;4;20;4;15;0;0;0;0
Cancún;85;2;60;2;25;2;10;1;85;0;0;0;0
Curacao;85;3;10;2;65;2;55;2;40;0;0;0;0
Guatemala;85;2;10;1;65;1;60;1;40;0;0;0;0
Habana;85;3;45;3;40;3;10;3;10;0;0;0;0
Ciudad de México;85;2;10;1;70;1;50;1;30;0;0;0;0
Managua;85;2;45;2;20;1;90;1;85;0;0;0;0
Panamá;85;1;40;1;15;0;90;0;80;0;0;0;0
Punta Cana;85;2;95;2;25;2;20;2;5;0;0;0;0
El Salvador;85;2;25;2;5;1;95;1;85;0;0;0;0
San Pedro Sula;85;2;90;2;40;2;15;1;65;0;0;0;0
Santo Domingo;85;2;90;2;5;1;80;1;75;0;0;0;0
San José;85;1;80;1;45;1;35;1;20;0;0;0;0
San Juan;85;2;40;2;10;1;75;1;55;0;0;0;0
Tegucigalpa;85;2;85;2;55;2;30;2;25;0;0;0;0
Asunción;85;3;25;3;5;2;60;2;55;0;0;0;0
Caracas;85;2;25;1;60;1;40;1;30;0;0;0;0
Curitiba;85;5;10;4;65;4;0;3;80;0;0;0;0
Buenos Aires;85;4;60;2;90;2;50;1;60;0;0;0;0
Rio de Janeiro;85;5;45;4;70;3;40;2;95;0;0;0;0
Sao Paulo;85;4;50;4;10;2;80;1;95;0;0;0;0
Guayaquil;85;2;70;2;10;1;90;1;70;0;0;0;0
Lima;85;2;35;1;60;1;35;1;25;0;0;0;0
La Paz;85;4;90;4;45;3;65;3;45;0;;0;
Manaos;85;4;40;3;45;2;95;2;45;0;0;0;0
Montevideo;85;5;50;5;5;3;10;2;80;0;0;0;0
Porto Alegre;85;4;75;4;35;2;95;2;90;0;0;0;0
Santiago;85;3;90;2;50;2;45;2;15;0;0;0;0
Quito;85;1;65;1;30;1;20;1;5;0;0;0;0
Viracopos;85;5;5;4;80;3;75;3;25;0;0;0;0
Viru Viru;85;4;85;4;45;3;65;3;60;0;0;0;0
Amsterdam;105;4;55;4;15;3;45;2;65;0;0;0;0
Barcelona;105;4;30;3;20;2;55;2;40;0;0;0;0
Londres;105;4;80;3;75;2;80;2;60;0;0;0;0
Madrid;105;4;25;3;25;2;55;2;30;0;0;0;0
