PAIS;POL;SERVICIO - VIA;POD; W/M ; BAF W/M ; MINIMO ;FRECUENCIA;TT APROX;
CHINA;DALIAN;VIA BUSAN;BUENAVENTURA;40;0;40;SEMANAL;38;
CHINA;FUZHOU;VIA BUSAN;BUENAVENTURA;40;0;40;SEMANAL;39;
CHINA;QINGDAO;VIA BUSAN;BUENAVENTURA;40;0;40;SEMANAL;35;
CHINA;XIAMEN;VIA BUSAN;BUENAVENTURA;40;0;40;SEMANAL;37;
CHINA;XINGANG/TIANJIN;VIA BUSAN;BUENAVENTURA;40;0;40;SEMANAL;35;
CHINA;HONG KONG;DIRECTO;BUENAVENTURA;3;0;5;SEMANAL;30;
CHINA;SHANGHAI;DIRECTO;BUENAVENTURA;3;0;5;SEMANAL;28;
CHINA;NINGBO;DIRECTO;BUENAVENTURA;3;0;5;SEMANAL;30;
CHINA;SHAOXING;VIA NINGBO;BUENAVENTURA;36;0;36;SEMANAL;35;
CHINA;WENZHOU;VIA NINGBO;BUENAVENTURA;32;0;32;SEMANAL;35;
CHINA;YIWU;VIA NINGBO;BUENAVENTURA;36;0;36;SEMANAL;35;
CHINA;SHENZHEN;DIRECTO;BUENAVENTURA;3;0;5;SEMANAL;30;
CHINA;FOSHAN /SHUNDE ;VIA SHENZHEN;BUENAVENTURA;29;0;29;SEMANAL;38;
CHINA;DONGGUANG;VIA SHENZHEN;BUENAVENTURA;24;0;24;SEMANAL;40;
CHINA;FUJIAN;VIA SHENZHEN;BUENAVENTURA;43;0;43;SEMANAL;38;
CHINA;GUANGZHOU;VIA SHENZHEN;BUENAVENTURA;34;0;34;SEMANAL;38;
CHINA;JIANGMEN;VIA SHENZHEN;BUENAVENTURA;29;0;29;SEMANAL;38;
CHINA;NANHAI;VIA SHENZHEN;BUENAVENTURA;29;0;29;SEMANAL;38;
CHINA;SHANTOU;VIA SHENZHEN;BUENAVENTURA;32;0;32;SEMANAL;38;
CHINA;XIAOLAN / ZHONGSHAN;VIA SHENZHEN;BUENAVENTURA;34;0;34;SEMANAL;38;
CHINA;ZHUHAI;VIA SHENZHEN;BUENAVENTURA;34;0;34;SEMANAL;38;
FILIPINAS;MANILA;VIA HONG KONG;BUENAVENTURA;50;0;50;SEMANAL;40;
INDIA;CALCUTTA;VIA SINGAPORE / BUSAN;BUENAVENTURA;79;0;79;SEMANAL;52;
INDIA;CHENNAI;VIA BUSAN;BUENAVENTURA;45;0;45;SEMANAL;44;
INDIA;NEW DELHI;VIA BUSAN;BUENAVENTURA;85;0;85;SEMANAL;52;
INDIA;NEW DELHI; NAVA SHEVA;BUENAVENTURA;80;0;80;QUINCENAL;67;
